id,grade,annual_income,short_employee,emp_length_num,home_ownership,Debt-To-Income Ratio,purpose,term,last_delinq_none,last_major_derog_none,revol_util,total_rec_late_fee,od_ratio,bad_loan,annual_income_log
10166166,C,160000,0,6,MORTGAGE,13.58,debt_consolidation,36 months,0,missing,76.0,0.0,0.131091948,0,11.982935344196433
9645048,C,124800,1,1,MORTGAGE,4.23,debt_consolidation,36 months,0,missing,5.5,0.0,0.520977704,0,11.734475747705874
10115641,B,42000,0,11,MORTGAGE,18.37,debt_consolidation,36 months,1,missing,55.3,0.0,0.3579784,1,10.645448706505872
10096681,B,130000,1,1,MORTGAGE,8.94,debt_consolidation,36 months,0,missing,41.4,0.0,0.014999977,0,11.775297421715827
10126703,C,45000,0,11,RENT,22.91,debt_consolidation,36 months,1,missing,26.8,0.0,0.096429907,0,10.714439990727769
10156788,A,65500,0,7,MORTGAGE,27.68,major_purchase,36 months,0,missing,70.6,0.0,0.784234787,1,11.089820688682373
10176783,C,70000,1,1,MORTGAGE,27.36,debt_consolidation,60 months,0,missing,49.0,0.0,0.427003044,0,11.156264806643742
10076700,E,90300,0,11,MORTGAGE,3.52,debt_consolidation,36 months,0,missing,31.0,0.0,0.197951823,0,11.410903813540878
10086931,B,28600,1,0,RENT,11.37,debt_consolidation,36 months,1,missing,40.0,0.0,0.640288939,1,10.261196961231647
10106916,C,54000,0,2,RENT,23.76,credit_card,36 months,1,missing,39.2,0.0,0.270702748,1,10.896757843893464
10066954,A,90000,0,2,MORTGAGE,20.51,debt_consolidation,36 months,0,missing,15.7,0.0,0.129817783,0,11.407576060361786
10127136,C,75000,0,11,MORTGAGE,7.46,debt_consolidation,36 months,0,0.0,12.4,0.0,0.472723117,1,11.225256725762893
10087163,C,120000,1,1,OWN,2.17,other,36 months,1,missing,15.1,0.0,0.390626477,0,11.695255355062795
10137295,C,50000,0,7,MORTGAGE,7.06,debt_consolidation,60 months,1,missing,4.0,0.0,0.405080116,0,10.819798284210286
10127016,C,115000,0,2,RENT,7.8,debt_consolidation,36 months,0,missing,86.8,0.0,0.376149041,0,11.652696102959753
10077050,C,270000,0,6,MORTGAGE,18.77,debt_consolidation,36 months,1,missing,81.5,0.0,0.292174748,0,12.506180941677357
10117251,C,158000,0,2,OWN,0.23,small_business,36 months,1,missing,25.5,0.0,0.55288259,0,11.970356641102999
10064847,D,101000,0,3,MORTGAGE,16.16,credit_card,60 months,1,missing,63.1,0.0,0.431185612,1,11.522885696764481
10097354,D,100000,0,6,MORTGAGE,22.73,debt_consolidation,60 months,1,missing,64.5,0.0,0.783761629,1,11.51293546492023
10087603,D,27297,1,1,RENT,20.42,debt_consolidation,60 months,1,missing,58.2,0.0,0.700773197,0,10.21456871841614
10177725,D,48250,0,8,MORTGAGE,23.81,debt_consolidation,60 months,1,missing,34.9,0.0,0.776409456,0,10.784171831940965
10107735,C,62000,0,9,MORTGAGE,12.19,debt_consolidation,36 months,0,missing,53.8,0.0,0.287829546,0,11.034905792929415
10234587,D,35000,0,2,RENT,29.7,credit_card,60 months,0,missing,53.4,0.0,0.210314545,0,10.463131911491967
10067669,C,70000,0,6,MORTGAGE,11.01,debt_consolidation,60 months,1,missing,48.3,0.0,0.504113523,0,11.156264806643742
10127802,C,75000,0,11,RENT,26.5,debt_consolidation,36 months,0,missing,80.5,0.0,0.171363868,0,11.225256725762893
10067876,D,136800,0,7,MORTGAGE,9.62,medical,60 months,1,missing,43.1,0.0,0.245464218,0,11.82628259408539
10167775,F,52000,0,11,MORTGAGE,21.21,debt_consolidation,60 months,1,missing,87.4,0.0,0.042663541,0,10.859018228147887
10077796,D,26000,1,0,RENT,4.29,debt_consolidation,36 months,1,missing,53.1,0.0,0.625732121,0,10.165890277802454
10167826,B,17400,1,0,RENT,8.47,credit_card,36 months,0,missing,28.4,0.0,0.634323034,0,9.76428295481558
10147827,C,52000,0,2,MORTGAGE,6.6,debt_consolidation,36 months,1,missing,50.0,0.0,0.532939677,1,10.859018228147887
10137995,D,48333,0,11,RENT,6.83,debt_consolidation,60 months,1,missing,64.6,0.0,0.735385548,1,10.785890525742927
10137986,B,31000,1,0,RENT,27.8,debt_consolidation,36 months,0,missing,45.5,0.0,0.374856177,0,10.34177474101152
10147930,C,50000,0,3,RENT,13.75,other,36 months,1,missing,30.1,0.0,0.804922509,0,10.819798284210286
10178005,C,38500,0,9,RENT,18.13,debt_consolidation,36 months,0,missing,41.5,0.0,0.586889242,0,10.55843949396453
9209616,C,65000,0,10,MORTGAGE,20.33,debt_consolidation,60 months,1,missing,60.4,0.0,0.655847353,0,11.082157933374816
9235939,C,80000,0,11,MORTGAGE,25.55,debt_consolidation,36 months,0,missing,41.0,0.0,0.290436239,0,11.289794413577894
10146175,E,123000,0,7,OWN,10.9,small_business,36 months,0,missing,21.6,0.0,0.388367193,1,11.719947764402807
10108395,A,80000,0,11,MORTGAGE,18.99,credit_card,36 months,1,missing,58.6,0.0,0.127305486,0,11.289794413577894
10147584,F,18500,1,1,OWN,2.92,debt_consolidation,36 months,1,missing,6.7,0.0,0.212811509,0,9.825580063659602
10098413,B,41600,0,3,MORTGAGE,17.22,credit_card,36 months,1,1.0,73.9,0.0,0.755053686,0,10.635879484421974
10088403,C,30000,0,8,OWN,11.12,debt_consolidation,36 months,1,missing,56.8,0.0,0.578870685,0,10.308985993422082
10168314,A,54000,1,0,MORTGAGE,14.11,debt_consolidation,36 months,0,missing,55.0,0.0,0.631831707,0,10.896757843893464
9077525,C,80000,0,5,RENT,15.86,other,36 months,1,missing,44.6,0.0,0.957562404,0,11.289794413577894
9994715,D,85000,0,2,RENT,22.72,debt_consolidation,60 months,1,missing,54.6,0.0,0.127726885,0,11.350418300109132
10168647,A,78000,0,11,MORTGAGE,23.15,debt_consolidation,36 months,1,missing,79.1,0.0,0.406675531,0,11.264476926102367
10138744,D,84000,1,1,RENT,5.63,credit_card,60 months,1,missing,42.5,0.0,0.222719412,0,11.338583982516495
9827694,E,55000,0,3,RENT,14.23,debt_consolidation,60 months,1,missing,94.4,0.0,0.531594467,0,10.915106645867503
10077243,C,32000,0,6,OWN,23.52,debt_consolidation,36 months,0,missing,70.1,0.0,0.830578975,0,10.373522431293592
10177748,F,55000,0,2,RENT,24.11,small_business,60 months,1,missing,57.9,0.0,0.604215529,0,10.915106645867503
9867699,A,60000,0,10,MORTGAGE,12.64,debt_consolidation,36 months,1,missing,28.2,0.0,0.185389483,0,11.002116507732017
10128829,D,16092,1,0,OWN,29.98,debt_consolidation,36 months,1,missing,92.7,0.0,0.381308533,0,9.686139673818495
10068776,F,40000,0,7,RENT,15.51,debt_consolidation,60 months,0,missing,54.7,0.0,0.283466549,0,10.596659732783579
9736435,D,110000,0,6,RENT,5.75,credit_card,36 months,0,missing,55.3,0.0,0.703312454,0,11.608244735642321
10068826,A,130000,0,10,MORTGAGE,12.26,credit_card,36 months,0,missing,65.3,0.0,0.253797941,0,11.775297421715827
10168791,C,61000,0,9,RENT,15.42,medical,60 months,0,missing,38.5,0.0,0.761391007,0,11.0186455364637
10178827,C,90000,1,0,MORTGAGE,20.07,credit_card,36 months,0,missing,30.1,0.0,0.277053918,0,11.407576060361786
10168866,D,265000,0,10,MORTGAGE,25.02,debt_consolidation,60 months,0,missing,61.1,0.0,0.045120817,0,12.487488878546145
7677546,F,65000,0,11,RENT,22.36,other,60 months,1,missing,63.0,0.0,0.942555507,0,11.082157933374816
10139141,C,41362,1,0,MORTGAGE,28.06,credit_card,36 months,0,missing,69.9,0.0,0.516239234,1,10.630142040400989
6804661,C,70000,0,4,MORTGAGE,11.5,debt_consolidation,36 months,1,missing,63.9,0.0,0.74118788,0,11.156264806643742
10088416,B,72000,0,11,MORTGAGE,26.02,debt_consolidation,36 months,0,missing,40.5,0.0,0.59841033,1,11.184435286790631
10139246,F,111714,0,10,MORTGAGE,15.72,other,60 months,0,missing,42.3,0.0,0.994938054,0,11.623706264313586
10078855,D,191000,0,9,OWN,4.72,other,36 months,0,missing,32.7,0.0,0.41761247,0,12.160033942617156
10069040,B,52155,0,11,MORTGAGE,20.8,debt_consolidation,36 months,1,missing,66.8,0.0,0.499352397,0,10.861994506543363
10078919,C,49740,0,11,RENT,29.58,debt_consolidation,36 months,0,missing,60.9,0.0,0.682514864,0,10.81458482169893
10129012,D,66000,1,0,MORTGAGE,5.64,debt_consolidation,36 months,0,missing,56.0,0.0,0.743562939,0,11.097425172408931
10175824,D,65000,0,11,OWN,16.91,debt_consolidation,60 months,1,missing,61.3,0.0,0.045708724,0,11.082157933374816
10179125,C,50000,0,7,RENT,21.92,debt_consolidation,60 months,1,missing,80.5,0.0,0.565999204,0,10.819798284210286
10089417,B,70000,0,11,MORTGAGE,18.81,credit_card,36 months,1,missing,55.0,0.0,0.952076808,0,11.156264806643742
10069348,C,60000,0,3,RENT,17.46,debt_consolidation,60 months,0,missing,94.1,0.0,0.86689532,0,11.002116507732017
9684785,D,60000,0,11,RENT,23.14,debt_consolidation,36 months,0,missing,35.5,0.0,0.205985754,0,11.002116507732017
9785764,A,37500,0,11,MORTGAGE,18.34,credit_card,36 months,1,missing,34.3,0.0,0.611224615,0,10.53212287826962
10139409,C,650000,0,11,MORTGAGE,11.78,debt_consolidation,36 months,0,missing,76.0,0.0,0.421909601,0,13.384729180332174
10109301,D,36000,0,10,RENT,14.9,debt_consolidation,36 months,1,missing,81.4,0.0,0.450275464,1,10.491301994830229
10169310,B,140000,0,11,MORTGAGE,10.98,debt_consolidation,36 months,0,missing,71.5,0.0,0.044005281,0,11.849404844423074
10149299,C,59108,0,6,MORTGAGE,17.52,credit_card,36 months,1,missing,56.9,0.0,0.006845834,0,10.987138476064077
10177191,F,75000,0,11,MORTGAGE,11.97,debt_consolidation,60 months,1,missing,30.7,0.0,0.508350378,1,11.225256725762893
10178304,B,34840,0,6,RENT,18.6,debt_consolidation,36 months,1,missing,31.0,0.0,0.388842695,0,10.45855013319517
10149183,C,56000,0,5,MORTGAGE,30.95,debt_consolidation,36 months,0,missing,43.9,0.0,0.578355836,0,10.933124826700707
10149285,B,110000,0,11,MORTGAGE,3.39,home_improvement,36 months,1,missing,17.7,0.0,0.156532404,0,11.608244735642321
10079433,D,120000,0,8,MORTGAGE,13.73,debt_consolidation,60 months,1,missing,44.0,0.0,0.893388201,1,11.695255355062795
9746109,B,101000,1,0,MORTGAGE,10.04,debt_consolidation,36 months,1,missing,31.9,0.0,0.01109693,0,11.522885696764481
10088548,C,24000,1,0,MORTGAGE,20.9,debt_consolidation,36 months,0,missing,20.0,0.0,0.763476177,0,10.085850775128717
8296101,G,45000,0,2,RENT,18.0,small_business,60 months,1,missing,60.8,0.0,0.773057261,0,10.714439990727769
9834592,B,50200,0,11,MORTGAGE,23.45,credit_card,36 months,0,missing,54.2,0.0,0.57279222,0,10.823790225800138
10107467,C,65000,0,11,MORTGAGE,13.22,debt_consolidation,60 months,0,missing,40.6,0.0,0.981489989,1,11.082157933374816
10139671,C,52000,0,11,OWN,18.56,debt_consolidation,60 months,0,missing,35.5,0.0,0.008677326,0,10.859018228147887
10089508,D,17421,1,0,RENT,11.44,major_purchase,36 months,0,missing,44.9,0.0,0.140200932,0,9.765489054378838
10149349,A,47112,1,0,RENT,4.0,debt_consolidation,36 months,1,missing,13.5,0.0,0.213618929,0,10.760304250413741
10148500,C,71000,0,11,RENT,16.24,vacation,36 months,1,missing,35.6,0.0,0.467320036,0,11.170449240431308
10129361,D,130000,0,10,MORTGAGE,8.87,debt_consolidation,36 months,1,missing,98.0,0.0,0.808112445,0,11.775297421715827
10159462,C,218000,0,11,MORTGAGE,18.75,debt_consolidation,36 months,0,missing,97.0,0.0,0.601195571,0,12.292254928916668
10119499,B,93000,1,1,RENT,12.52,car,36 months,0,missing,76.9,0.0,0.413560724,0,11.440365524765756
10179362,B,45000,0,11,MORTGAGE,6.16,debt_consolidation,36 months,0,missing,82.7,0.0,0.369020674,1,10.714439990727769
10089438,B,75000,0,5,MORTGAGE,32.66,debt_consolidation,36 months,1,missing,78.6,0.0,0.68852574,0,11.225256725762893
10099617,D,35000,0,6,RENT,21.6,debt_consolidation,60 months,1,missing,53.2,0.0,0.621603031,0,10.463131911491967
10109609,B,91262,0,11,OWN,14.75,debt_consolidation,36 months,1,missing,38.7,0.0,0.789230973,0,11.421500727050882
10069646,C,65000,0,11,RENT,21.86,debt_consolidation,36 months,0,missing,86.2,0.0,0.085639182,1,11.082157933374816
9866448,D,110000,0,10,RENT,10.84,credit_card,60 months,1,missing,54.2,0.0,0.051668925,1,11.608244735642321
10129460,B,39500,0,10,MORTGAGE,9.45,debt_consolidation,36 months,1,missing,79.3,0.0,0.388830481,0,10.584081267024454
10139801,B,50000,0,10,MORTGAGE,18.94,credit_card,36 months,1,missing,49.3,0.0,0.475967471,0,10.819798284210286
10169558,D,110000,0,2,RENT,10.05,medical,36 months,1,missing,55.2,0.0,0.765888049,0,11.608244735642321
10224978,D,59000,0,10,RENT,27.16,credit_card,60 months,0,missing,63.1,0.0,0.211715575,0,10.985309671896763
10177732,C,98280,0,11,RENT,26.43,debt_consolidation,60 months,1,1.0,37.7,0.0,0.918451352,0,11.495586001593525
10129493,B,43000,0,2,MORTGAGE,33.07,credit_card,36 months,0,missing,75.5,0.0,0.189530573,0,10.668978650219241
10169636,D,60000,0,4,MORTGAGE,26.76,debt_consolidation,36 months,0,missing,40.8,0.0,0.236712077,1,11.002116507732017
10169552,E,25000,0,8,RENT,6.93,debt_consolidation,36 months,0,missing,28.1,15.0,0.141048634,0,10.12667110305036
10147597,D,38500,0,5,RENT,19.36,debt_consolidation,36 months,1,missing,34.6,0.0,0.189836181,1,10.55843949396453
10159531,B,62000,0,11,MORTGAGE,20.09,debt_consolidation,60 months,1,missing,42.1,0.0,0.700366727,0,11.034905792929415
7345464,A,111000,0,2,MORTGAGE,14.92,credit_card,36 months,0,missing,50.7,0.0,0.567222495,0,11.6172944892629
9776739,A,100000,0,2,MORTGAGE,7.81,debt_consolidation,36 months,0,missing,28.5,0.0,0.717064477,0,11.51293546492023
6523490,A,52000,0,4,MORTGAGE,14.96,debt_consolidation,36 months,1,missing,30.9,0.0,0.167434277,0,10.859018228147887
10129563,C,33571,0,3,RENT,10.3,debt_consolidation,36 months,0,missing,82.7,0.0,0.479093293,1,10.421447665202718
10128700,A,71000,0,8,MORTGAGE,18.93,debt_consolidation,36 months,1,missing,32.2,0.0,0.844629294,0,11.170449240431308
10089828,E,85000,1,1,RENT,27.18,debt_consolidation,60 months,1,missing,67.6,0.0,0.552305504,0,11.350418300109132
10119683,C,64000,1,1,RENT,9.95,debt_consolidation,36 months,0,missing,64.0,0.0,0.874534949,0,11.06665398721974
10129584,D,60000,0,6,MORTGAGE,20.18,credit_card,36 months,0,missing,51.8,0.0,0.044025079,0,11.002116507732017
10119793,B,65000,0,11,MORTGAGE,18.56,debt_consolidation,36 months,0,missing,27.7,0.0,0.286260488,0,11.082157933374816
10119448,D,27000,0,10,RENT,29.91,debt_consolidation,36 months,1,missing,60.0,0.0,0.85742971,0,10.203629181337648
10128736,A,42000,0,6,MORTGAGE,8.8,debt_consolidation,36 months,1,missing,13.1,0.0,0.726703584,0,10.645448706505872
10129562,G,55000,0,4,OWN,4.63,home_improvement,60 months,0,missing,62.1,0.0,0.352195536,1,10.915106645867503
10137006,D,124800,1,1,RENT,7.56,major_purchase,36 months,1,missing,55.3,0.0,0.428134983,0,11.734475747705874
10179664,G,75000,0,11,MORTGAGE,23.23,small_business,60 months,1,missing,81.6,0.0,0.833384406,1,11.225256725762893
10129641,B,90000,0,11,MORTGAGE,10.08,debt_consolidation,60 months,1,missing,30.6,0.0,0.194424944,0,11.407576060361786
10169201,A,49027,1,0,MORTGAGE,8.47,debt_consolidation,36 months,0,missing,28.3,0.0,0.286670663,0,10.800146842461055
10139914,C,103000,0,3,MORTGAGE,12.77,debt_consolidation,36 months,0,missing,77.2,0.0,0.559330575,0,11.542493975902508
10159756,C,65000,0,7,RENT,26.27,debt_consolidation,36 months,1,missing,45.0,0.0,0.170280429,0,11.082157933374816
10149700,E,42000,1,0,OWN,23.23,debt_consolidation,36 months,0,missing,47.8,0.0,0.198235113,0,10.645448706505872
10169649,B,82000,0,3,RENT,10.62,credit_card,36 months,1,missing,42.8,0.0,0.917266523,0,11.314486721293981
10149677,A,80000,1,1,RENT,21.2,debt_consolidation,36 months,0,missing,96.4,0.0,0.083269642,0,11.289794413577894
10139839,E,52000,0,9,MORTGAGE,12.83,debt_consolidation,60 months,0,missing,17.0,0.0,0.494597144,0,10.859018228147887
10155584,B,58000,0,4,OWN,21.33,credit_card,36 months,1,missing,42.4,0.0,0.576037682,0,10.968215530759236
10169789,D,75000,0,3,MORTGAGE,19.97,debt_consolidation,60 months,1,missing,84.6,0.0,0.049148064,0,11.225256725762893
10159622,F,58000,1,0,MORTGAGE,18.54,debt_consolidation,36 months,1,missing,93.4,0.0,0.956783534,0,10.968215530759236
10149696,B,50000,0,6,MORTGAGE,9.19,credit_card,36 months,1,missing,63.8,0.0,0.165181454,0,10.819798284210286
10140015,A,32000,0,2,RENT,19.35,debt_consolidation,36 months,1,missing,18.9,0.0,0.741886577,0,10.373522431293592
10079726,C,35000,0,3,RENT,9.6,debt_consolidation,36 months,0,missing,59.0,0.0,0.598687601,0,10.463131911491967
10129762,D,70000,0,9,RENT,14.57,debt_consolidation,36 months,0,missing,74.0,0.0,0.846068004,0,11.156264806643742
10099887,B,80000,0,3,MORTGAGE,30.33,debt_consolidation,36 months,1,missing,66.4,0.0,0.857880737,1,11.289794413577894
10140057,D,75000,1,0,MORTGAGE,9.52,debt_consolidation,60 months,1,missing,70.7,0.0,0.90093845,0,11.225256725762893
10099855,G,67000,0,11,MORTGAGE,28.0,debt_consolidation,60 months,1,missing,62.6,0.0,0.60427302,0,11.112462823634855
10129686,E,105000,0,6,MORTGAGE,20.51,debt_consolidation,60 months,0,missing,53.0,0.0,0.173251315,0,11.561725152903833
10140041,B,37000,0,4,RENT,19.2,credit_card,36 months,0,missing,45.0,0.0,0.828499856,0,10.518700218288165
10159802,C,79850,0,3,MORTGAGE,7.8,debt_consolidation,36 months,1,missing,74.0,0.0,0.264495213,0,11.287917677046268
10099868,A,81516,1,0,MORTGAGE,15.83,debt_consolidation,36 months,1,missing,32.1,0.0,0.303148213,1,11.308566866434358
10169855,C,60000,0,8,RENT,15.7,car,36 months,0,missing,38.7,0.0,0.123862505,0,11.002116507732017
10169833,B,58200,0,11,MORTGAGE,23.42,debt_consolidation,36 months,0,missing,54.1,0.0,0.244232081,0,10.971657815702502
10099877,B,46000,0,5,RENT,14.95,debt_consolidation,36 months,1,missing,29.9,0.0,0.585971596,0,10.736418414365376
10106315,D,40500,0,11,RENT,16.03,debt_consolidation,36 months,0,missing,70.5,0.0,0.26125118,0,10.609081944147828
10149897,C,100000,0,11,MORTGAGE,25.18,other,36 months,0,missing,71.4,0.0,0.205588992,0,11.51293546492023
10140115,A,60000,0,11,MORTGAGE,26.87,debt_consolidation,36 months,1,missing,10.6,0.0,0.093445854,0,11.002116507732017
10159889,B,75000,0,11,MORTGAGE,9.57,credit_card,36 months,0,missing,33.8,0.0,0.208909132,0,11.225256725762893
9187449,C,95000,0,11,MORTGAGE,18.2,debt_consolidation,60 months,0,missing,48.4,0.0,0.695500971,0,11.461642696843066
10075074,D,75000,0,6,MORTGAGE,12.99,debt_consolidation,60 months,0,missing,68.2,0.0,0.71771671,0,11.225256725762893
10089541,D,100000,0,6,MORTGAGE,13.36,debt_consolidation,60 months,0,missing,66.9,0.0,0.564783427,1,11.51293546492023
10079887,B,73000,0,11,OWN,18.81,debt_consolidation,36 months,0,missing,40.8,0.0,0.947070523,1,11.19822841866684
10110035,D,36000,0,11,RENT,23.17,debt_consolidation,60 months,0,missing,44.9,0.0,0.968339627,1,10.491301994830229
10159971,C,86000,0,11,OWN,29.61,home_improvement,36 months,0,missing,85.8,0.0,0.636513712,0,11.362114203075018
10179883,B,110000,0,11,MORTGAGE,3.73,credit_card,36 months,1,missing,95.6,0.0,0.486294274,0,11.608244735642321
10149930,B,44000,0,3,RENT,21.9,credit_card,36 months,1,missing,59.0,0.0,0.591015877,1,10.691967639914864
10179906,B,65000,0,11,MORTGAGE,22.77,medical,60 months,1,missing,20.3,0.0,0.495959481,0,11.082157933374816
10129884,F,45000,0,2,MORTGAGE,20.1,debt_consolidation,60 months,1,missing,69.3,0.0,0.986417798,1,10.714439990727769
10129607,B,90000,0,11,MORTGAGE,17.33,credit_card,36 months,0,missing,56.9,0.0,0.845085763,0,11.407576060361786
10125118,C,50000,1,0,MORTGAGE,15.65,credit_card,60 months,0,missing,47.2,0.0,0.573615184,1,10.819798284210286
10110056,A,43000,0,9,RENT,12.41,debt_consolidation,36 months,0,missing,26.9,0.0,0.820964779,0,10.668978650219241
10159963,C,52000,0,9,MORTGAGE,25.18,debt_consolidation,36 months,0,missing,75.1,0.0,0.853821617,0,10.859018228147887
10140175,A,92000,0,6,RENT,18.45,credit_card,36 months,0,missing,72.2,0.0,0.240962209,0,11.429554725537322
10149935,C,119100,0,11,RENT,14.45,debt_consolidation,36 months,1,missing,85.3,0.0,0.238693383,0,11.687727151613768
10109761,F,72000,0,10,MORTGAGE,7.67,small_business,60 months,0,missing,42.0,0.0,0.874424389,0,11.184435286790631
10070043,E,108000,0,10,MORTGAGE,18.04,small_business,36 months,0,missing,66.0,0.0,0.801664644,0,11.58989576532275
10110074,A,46000,0,6,MORTGAGE,16.85,debt_consolidation,36 months,1,missing,16.1,0.0,0.324427218,0,10.736418414365376
10100096,A,56000,0,11,MORTGAGE,6.82,credit_card,36 months,1,missing,21.0,0.0,0.637738494,0,10.933124826700707
10100093,B,62000,0,11,RENT,16.01,debt_consolidation,36 months,0,missing,60.4,0.0,0.783575993,0,11.034905792929415
10139842,C,54000,0,11,MORTGAGE,19.76,debt_consolidation,60 months,0,missing,70.1,0.0,0.764498313,0,10.896757843893464
10070098,D,38000,1,0,MORTGAGE,8.28,debt_consolidation,36 months,0,missing,33.7,0.0,0.970680807,1,10.545367754151743
10150055,C,72000,0,2,MORTGAGE,29.68,credit_card,36 months,0,missing,69.0,0.0,0.807200084,0,11.184435286790631
10150010,E,35000,0,9,RENT,10.19,debt_consolidation,36 months,1,missing,88.1,0.0,0.975263367,0,10.463131911491967
10180003,D,42000,0,3,RENT,28.32,debt_consolidation,36 months,0,missing,48.9,0.0,0.13547948,1,10.645448706505872
10160028,C,80000,1,1,RENT,20.94,debt_consolidation,60 months,1,missing,56.2,0.0,0.487132708,1,11.289794413577894
10089951,E,55000,1,0,MORTGAGE,17.93,medical,36 months,1,missing,72.0,0.0,0.592167892,1,10.915106645867503
10090197,A,223000,0,5,MORTGAGE,1.35,debt_consolidation,36 months,1,1.0,21.1,0.0,0.511910806,0,12.314931534737134
10119770,D,40000,0,2,MORTGAGE,10.92,debt_consolidation,60 months,1,missing,59.9,0.0,0.259405699,0,10.596659732783579
10090132,C,35000,0,2,RENT,28.51,debt_consolidation,60 months,1,missing,19.2,0.0,0.971195661,1,10.463131911491967
10110199,B,40000,0,11,MORTGAGE,14.04,debt_consolidation,36 months,1,missing,54.3,0.0,0.008211835,1,10.596659732783579
10118302,E,80000,0,11,MORTGAGE,9.98,debt_consolidation,60 months,0,missing,78.0,0.0,0.268836639,1,11.289794413577894
10120161,B,53000,0,6,MORTGAGE,17.12,debt_consolidation,36 months,1,missing,54.1,0.0,0.960199529,0,10.87806606028079
10179303,B,42000,0,11,RENT,17.37,credit_card,36 months,1,missing,36.6,0.0,0.648313872,0,10.645448706505872
10177949,B,20520,1,0,RENT,7.19,credit_card,36 months,1,missing,36.6,0.0,0.845390762,0,9.929204031040765
10150119,D,50000,0,5,OWN,20.04,debt_consolidation,36 months,1,missing,68.8,0.0,0.014770408,1,10.819798284210286
10150133,C,55000,0,7,RENT,22.43,debt_consolidation,36 months,0,0.0,67.7,0.0,0.036954731,1,10.915106645867503
