id,annual_income,short_employee,emp_length_num,Debt-To-Income Ratio,revol_util,total_rec_late_fee,od_ratio,bad_loan,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_small_business,purpose_vacation,purpose_wedding,term_36 months,term_60 months,last_delinq_none_0,last_delinq_none_1,last_major_derog_none_0.0,last_major_derog_none_1.0,last_major_derog_none_missing,annual_income_log
10089508,17421,1,0,11.44,44.9,0.0,0.140200932,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,9.765489054378838
10148500,71000,0,11,16.24,35.6,0.0,0.467320036,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,11.170449240431308
10177732,98280,0,11,26.43,37.7,0.0,0.918451352,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,11.495586001593525
10169552,25000,0,8,6.93,28.1,15.0,0.141048634,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,10.12667110305036
10137006,124800,1,1,7.56,55.3,0.0,0.428134983,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,11.734475747705874
10159622,58000,1,0,18.54,93.4,0.0,0.956783534,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,10.968215530759236
10099855,67000,0,11,28.0,62.6,0.0,0.60427302,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,11.112462823634855
10109761,72000,0,10,7.67,42.0,0.0,0.874424389,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,11.184435286790631
10070043,108000,0,10,18.04,66.0,0.0,0.801664644,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,11.58989576532275
10090197,223000,0,5,1.35,21.1,0.0,0.511910806,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,12.314931534737134
10180046,120000,0,2,0.0,56.1769,0.0,0.738261405,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,11.695255355062795
10069425,79000,0,7,22.21,91.0,0.0,0.605116868,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,11.277215789596893
10110555,75000,0,11,16.06,95.5,0.0,0.336671874,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,11.225256725762893
10149809,47000,0,2,29.6,71.1,0.0,0.93104374,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,10.757924157061597
10110541,70000,1,0,22.89,29.0,0.0,0.285068431,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,11.156264806643742
10080702,83500,0,3,14.82,90.9,0.0,0.929460046,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,11.332613886815139
10149034,93000,0,11,17.42,27.0,0.0,0.805513975,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,11.440365524765756
9726328,25000,0,11,25.59,41.3,0.0,0.391617102,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,10.12667110305036
10180690,66000,0,3,24.65,27.2,0.0,0.287004276,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11.097425172408931
10180639,35000,0,10,25.14,93.3,0.0,0.643957129,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,10.463131911491967
10170722,67500,1,1,9.16,89.8,0.0,0.549448867,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,11.119897691565697
10110002,85000,0,11,16.41,19.0,0.0,0.751822475,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,11.350418300109132
10128858,31000,0,11,2.43,5.6,0.0,0.280285081,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,10.34177474101152
10131101,108800,0,11,2.9,43.1,0.0,0.294134071,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,11.597275804538212
10130218,60000,0,11,24.96,38.6,0.0,0.175167684,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,11.002116507732017
10181137,90000,0,11,0.11,11.0,0.0,0.397224149,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,11.407576060361786
10178588,52000,0,8,8.64,4.4,0.0,0.470313855,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,10.859018228147887
10081494,54500,0,10,13.04,70.4,0.0,0.129716337,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,10.905974329106854
10181501,66000,0,11,33.44,40.5,0.0,0.838868093,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,11.097425172408931
10171778,68000,0,7,28.77,37.8,0.0,0.295615064,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11.127277689932466
10171859,185000,0,5,5.78,11.8,0.0,0.618486667,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,12.128116509451258
10079292,150000,0,11,5.25,64.5,0.0,0.722410172,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,11.918397239722838
10172019,96000,1,1,5.73,59.8,0.0,0.858755695,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,11.472113887062386
10102122,80000,0,3,5.83,56.0,0.0,0.973821282,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,11.289794413577894
10112288,120000,0,2,5.17,71.1,0.0,0.699779442,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,11.695255355062795
10112321,70000,0,11,14.98,26.8,0.0,0.603240388,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11.156264806643742
10152179,72000,0,3,20.1,78.9,0.0,0.634669867,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,11.184435286790631
10132149,70000,0,11,13.54,71.3,0.0,0.852147592,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,11.156264806643742
10182280,54000,0,10,3.38,27.6,16.06,0.473500486,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,10.896757843893464
10112656,200000,1,1,8.07,41.7,0.0,0.798950073,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,12.206077645517674
10140625,105000,0,11,13.02,61.7,0.0,0.113377821,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,11.561725152903833
10151252,125000,0,6,11.16,41.8,0.0,0.216417972,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,11.736077016252437
10172585,47000,0,11,22.39,58.8,0.0,0.293720017,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,10.757924157061597
694891,100000,0,11,9.1,15.8,0.0,0.817173747,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,11.51293546492023
10092970,48500,0,9,2.53,65.3,0.0,0.582419542,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,10.789339695269716
10182852,76000,0,11,22.46,66.2,0.0,0.278758949,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,11.23850177707664
10172927,81500,0,3,22.46,92.8,15.0,0.096866006,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,11.308370569092329
10113242,30000,0,9,4.92,36.6,0.0,0.069226426,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,10.308985993422082
10083170,130000,0,11,27.28,96.0,0.0,0.395294241,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11.775297421715827
9264991,77000,0,11,22.01,40.8,0.0,0.313620575,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,11.251573687764477
10129011,72000,0,7,13.26,65.7,0.0,0.484471029,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,11.184435286790631
10173427,225000,0,4,6.5,29.1,0.0,0.063576939,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,12.323860125621126
10168958,27000,0,5,11.11,30.5,0.0,0.009888032,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,10.203629181337648
10140410,47000,0,6,19.25,39.2,0.0,0.19460987,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,10.757924157061597
10152099,87000,0,10,23.14,83.9,0.0,0.910534576,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11.373674891823535
9807629,125000,0,9,24.67,57.2,0.0,0.072904652,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,11.736077016252437
10179529,99000,0,3,7.73,87.4,0.0,0.379613341,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,11.502885230075814
10414707,59400,0,9,8.95,8.8,0.0,0.761219578,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,10.992066340225865
10103769,69000,0,9,20.03,68.3,0.0,0.658578087,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,11.141876276228
10111985,65239,0,4,14.05,60.3,0.0,0.42846855,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,11.08582805673495
10113529,70000,0,11,9.37,78.8,0.0,0.716167823,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,11.156264806643742
10073712,80000,0,7,0.0,0.0,0.0,0.874295957,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,11.289794413577894
10634667,42829,0,11,8.4,88.7,0.0,0.123304413,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,10.664994070609417
10129030,88000,0,11,18.86,82.9,0.0,0.969113823,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,11.385103457032141
10614968,37000,0,4,34.35,17.3,0.0,0.044614254,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,10.518700218288165
10644804,70000,0,3,9.41,50.6,0.0,0.826446375,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,11.156264806643742
10565037,95000,0,2,22.02,82.9,0.0,0.040883006,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,11.461642696843066
10414723,110000,0,8,20.27,18.4,0.0,0.62382498,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,11.608244735642321
9646088,38000,0,4,13.69,81.3,0.0,0.250130461,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,10.545367754151743
10595225,95000,0,11,6.54,71.5,0.0,0.979755342,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,11.461642696843066
10605552,63720,1,0,13.22,44.3,0.0,0.188479408,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,11.062269457560602
10172512,55000,0,6,15.9,58.9,0.0,0.695304073,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,10.915106645867503
10605795,34560,1,1,14.76,9.3,0.0,0.667486353,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,10.450481157684562
10070771,75000,0,11,12.3,61.2,0.0,0.085995612,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,11.225256725762893
10635836,92000,0,11,15.14,58.0,0.0,0.596737947,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11.429554725537322
10636159,200000,0,9,8.63,7.6,0.0,0.300563825,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,12.206077645517674
10646180,108000,1,1,4.95,92.5,0.0,0.337955015,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11.58989576532275
10546488,78500,0,10,5.75,35.1,0.0,0.255790268,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,11.270866642542865
10596565,45000,0,11,2.61,56.8,0.0,0.965676278,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,10.714439990727769
10576480,75000,0,11,12.91,58.3,0.0,0.722152752,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,11.225256725762893
10586780,125000,0,3,11.62,80.3,0.0,0.827877779,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,11.736077016252437
10586256,62000,0,6,11.23,46.0,0.0,0.19299318,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,11.034905792929415
10606968,45000,0,11,14.32,31.2,0.0,0.465024179,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,10.714439990727769
10606692,60000,0,7,12.44,74.1,0.0,0.92736146,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,11.002116507732017
10576978,140000,0,11,10.95,56.1,0.0,0.984437954,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,11.849404844423074
10110053,222000,0,5,2.91,58.7,0.0,0.094213914,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,12.310437165348775
10607229,85000,0,8,6.48,34.0,0.0,0.568228433,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,11.350418300109132
10183413,58000,0,4,6.33,69.2,0.0,0.088572163,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,10.968215530759236
10615808,43572,0,2,12.78,15.3,0.0,0.46416318,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,10.682192971457658
10647380,45000,0,3,2.0,2.0,0.0,0.856718651,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,10.714439990727769
10547506,75000,0,11,20.38,47.8,0.0,0.937983652,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,11.225256725762893
9914839,34000,1,1,14.56,6.9,0.0,0.013607919,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,10.434145214930487
10537779,70000,0,8,18.96,78.9,0.0,0.004744124,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,11.156264806643742
10587632,67000,0,4,6.47,92.2,0.0,0.229564763,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,11.112462823634855
10627644,63000,0,11,8.95,42.8,0.0,0.572512359,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,11.050905878263567
7304748,66000,0,4,22.64,48.3,0.0,0.695885954,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11.097425172408931
10587961,115731,0,11,16.03,69.0,0.0,0.619266204,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,11.65903245229653
10628196,65000,0,11,2.47,34.7,0.0,0.233823681,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,11.082157933374816
10568410,76805,0,11,11.2,52.6,0.0,0.586186284,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,11.249038041084164
10538690,45000,0,5,15.87,24.2,0.0,0.096618175,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,10.714439990727769
10568733,68000,0,9,3.69,14.4,0.0,0.400896983,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,11.127277689932466
10116175,33000,0,8,21.82,14.9,0.0,0.84064288,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,10.404293143019792
10608890,25068,1,0,22.98,33.7,17.48,0.599058097,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,10.129387302044055
10558900,85000,0,5,2.61,28.0,0.0,0.095592428,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11.350418300109132
8934625,99000,0,5,31.55,80.2,42.94,0.198656707,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,11.502885230075814
10556497,120000,0,2,11.31,47.6,0.0,0.78570114,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,11.695255355062795
10627786,40000,0,2,13.56,61.9,0.0,0.439810122,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,10.596659732783579
10674965,150000,0,11,14.91,48.8,0.0,0.411648582,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,11.918397239722838
10784893,150000,0,9,6.14,44.9,0.0,0.702196441,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,11.918397239722838
10794684,30000,0,7,4.92,22.6,0.0,0.503648651,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,10.308985993422082
10695488,120000,1,1,4.12,15.4,0.0,0.65911675,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,11.695255355062795
10577183,62649,0,3,16.72,65.0,0.0,0.067706028,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,11.045318960324215
10546650,50000,0,6,3.94,5.4,0.0,0.232534824,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,10.819798284210286
10584890,200000,0,8,2.86,53.8,0.0,0.574064944,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,12.206077645517674
10695626,26000,1,0,13.02,30.6,0.0,0.597454386,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,10.165890277802454
10071927,73000,0,2,16.13,67.1,0.0,0.479907792,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11.19822841866684
10705844,89900,0,5,5.39,0.1,0.0,0.797966144,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,11.40646434386837
10785762,68088,0,11,10.94,83.9,0.0,0.418392582,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,11.128570951924754
10716583,45000,1,1,29.73,54.0,0.0,0.10725369,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,10.714439990727769
10716572,92000,0,11,27.28,85.0,0.0,0.332603314,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,11.429554725537322
10706348,71500,0,5,25.19,49.7,0.0,0.003679828,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11.177466714598282
10626668,57280,0,4,24.46,10.4,0.0,0.149671753,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,10.955724259582695
10776726,87000,0,11,14.85,89.2,0.0,0.655528901,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,11.373674891823535
10746843,75324,0,11,10.74,39.0,0.0,0.655400428,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,11.229567363998502
10717047,50000,0,11,17.33,55.4,0.0,0.322152745,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,10.819798284210286
10766096,64000,0,7,14.94,90.3,0.0,0.520275103,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,11.06665398721974
10737135,35000,0,11,26.82,86.6,0.0,0.582381207,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,10.463131911491967
10864640,85000,0,8,23.59,35.6,0.0,0.511004678,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,11.350418300109132
